Name	smiles_structure
Description	SMILES structural representation
Unit	None
Reference	
Temperature	
Pressure	
Ionic Strength	
Uncertainty	
Uncertainty Type	
Comment	
	
Key	Value
Ag+	[Ag+]
Al+3	[Al+3]
Ba+2	[Ba+2]
Be+2	[Be+2]
Ca+2	[Ca+2]
Cd+2	[Cd+2]
Ce+3	[Ce+3]
Co+2	[Co+2]
Cr+3	[Cr+3]
Cs+	[Cs+]
Cu+	[Cu+]
Dy+3	[Dy+3]
Er+3	[Er+3]
Eu+3	[Eu+3]
Fe+2	[Fe+2]
Fe+3	[Fe+3]
Gd+3	[Gd+3]
H+	[H+]
Hg+2	[Hg+2]
Ho+3	[Ho+3]
K+	[K+]
La+3	[La+3]
Li+	[Li+]
Mg+2	[Mg+2]
Mn+2	[Mn+2]
NH4+	[NH4+]
N2H5+	[N2H5+]
Na+	[Na+]
Nd+3	[Nd+3]
Ni+2	[Ni+2]
Pb+2	[Pb+2]
Pr+3	[Pr+3]
Ra+2	[Ra+2]
Rb+	[Rb+]
Sc+3	[Sc+3]
Sm+3	[Sm+3]
Sr+2	[Sr+2]
Tl+	[Tl+]
Tm+3	[Tm+3]
UO2+2	[UO2+2]
Y+3	[Y+3]
Yb+3	[Yb+3]
Zn+2	[Zn+2]
Au(CN)2-	[C-]#N.[Au+]
Au(CN)4-	
B(C6H5)4-	
Br-	[Br-]
Br3-	[Br3-]
BrO3-	
CN-	[CN-]
CNO-	
CO3-2	
Cl-	[Cl-]
CLO2-	
CLO3-	
CLO4-	
Co(CN)6-3	
CrO4-2	
F-	[F-]
Fe(CN)6-4	
Fe(CN)6-3	
H2ASO4-	
HCO3-	
HF2-	
HPO4-2	
H2PO4-	
H2PO2-	
HS-	
HSO3-	
HSO4-	
H2SbO4-	
I-	[I-]
IO3-	
IO4-	
MnO4-	
MoO4-2	
N(CN)2-	
NO2-	
NO3-	
NH2SO3-	
N3-	
OCN-	
OH-	
PF6-	
PO3F-2	
PO4-3	
P2O7-4	
P3O9-3	
P3O10-5	
ReO4-	
SCN-	
SO3-2	
SO4-2	
S2O3-2	
S2O4-2	
S2O6-2	
S2O8-2	
Sb(OH)6-	
SeCN-	
SeO4-	
WO4-2	
HCO2-	
CH3COO-	
