Name:	pitzer_parameters_volume					
Description:	Beta0, Beta1, Beta2, Cphi, and V_o parameters for calculating apparent molar volume according to the Pitzer ion interaction model					
Unit:	None					
Reference:	May, P. M., Rowland, D., Hefter, G., & Kanigsberger, E. (2011).   A Generic and Updatable Pitzer Characterization of Aqueous Binary Electrolyte Solutions at 1 bar and 25C. Journal of Chemical & Engineering Data, 56(12), 5066-5077. doi:10.1021/je2009329					
Temperature:	25 degC					
Pressure:	1 atm					
Ionic Strength:						
Uncertainty:						
Uncertainty Type:						
Comment:	Copyright 2011 American Chemical Society. Used with permission.					
						
Key:	Beta0	Beta1	Beta2	Cphi	V_o	Max_C
Al2(SO4)3	0.0001082	-0.0176	25.74	0.000204	-42.4	1.063
NH4Br	0.0009447	-0.005184	0	-0.0001633	42.6	7.393
NH4Cl	0.00002909	0.0002654	0	-0.0001633	35.7	7.379
NH4I	-0.00007129	-0.0004257	0	0.00002706	54.1	7.474
NH4NO3	0.000001742	0.0002926	0	0.000000424	46.9	20
NH4ClO4	-0.01683	0.04424	0	0.008742	62	1.868
NH4SO4	0.0001764	0.002529	0	-0.000001225	49.8	5.48
BaCl2	-0.0005681	0.003069	0	0.0004377	23.1	1.623
Ba(NO3)2	-0.001117	0.004513	0	0.005325	45.5	0.35
Cd(NO3)2	-0.0001585	0.0006157	0	0.00009018	43	3
CdSO4	-0.00004448	0.002519	0.3064	0.001607	-6	2.024
CsBr	0.00007096	0.0002329	0	-0.0000052	46	4.731
CsCl	0.00008174	0.0004061	0	-0.0000076	39.1	10.6
CsF	0.0002505	-0.0002001	0	-0.00009591	20.1	3.391
CsI	0.0001948	-0.0002476	0	-0.00007298	57.5	2.18
CsNO3	-0.003658	0.01879	0	0.002551	35	1.282
Cs2SO4	0.0007906	0.002396	0	-0.00001989	40	3.816
CaBr2	0.0004783	-0.002234	0	-0.0001828	31.5	2.595
CaCl2	0.0003049	-0.003313	0	0.00004089	20	5
Ca(NO3)2	0.0002862	-0.001099	0	-0.0000281	40.1	5.918
CoCl2	0.000249	-0.002144	0	-0.0000311	11.6	3.351
Co(NO3)2	0.0001975	-0.001826	0	-0.00001095	34	3.644
CuCl2	0.000143	0.001121	0	0.00000571	10	3.603
Cu(NO3)2	-0.0007436	0.005543	0	0.000328	30.2	2.867
CuSO4	0.001499	-0.008124	0.2203	-0.0002589	-6	1.418
EuCl3	-0.00002235	0.001708	0	0.00003954	9.7	3.589
GdCl3	0.000189	-0.003143	0	-0.0000144	13.5	3.591
HI	0.0002796	-0.001984	0	-0.00002604	36.2	7.422
HBr	-0.000004176	-0.000453	0	-0.000000208	24.7	8.493
HCl	0.00000614	-0.0000571	0	0.000000536	17.8	10.54
FeCl2	-0.001938	0.008436	0	0.001231	12.2	1.49
FeCl3	-0.0001865	-0.001726	0	0.00009595	25	2.055
LaCl3	0.0002055	-0.001878	0	-0.0000158	14.3	3.896
Pb(NO3)2	-0.001126	0.009357	0	0.0007057	42.5	1.5
LiCH3COO	0.2285	-0.3546	0	-0.3956	39.8	0.305
LiBr	0.00005254	-0.00008455	0	-0.00001038	23.8	10.63
LiCl	0.000112	-0.0002186	0	-0.00001729	16.9	8.288
LiOH	0.00006931	0.0006398	0	0.00001253	-4.9	4.9
LiI	-0.0006691	0.001811	0	0.000192	35.3	2.906
LiNO3	-0.000108	0.0009862	0	0.00001359	28.1	12.87
LiClO4	0.00001216	-0.00003995	0	0.000002271	43.2	4.423
Li2SO4	-0.000000641	0.002637	0	0.00006592	12.2	3.125
Mg(CH3COO)2	0.0006679	-0.0002526	0	0.0001019	60.2	0.573
MgBr2	0.0003715	-0.001361	0	-0.00005296	28.2	5.431
MgCl2	0.0001747	-0.0007983	0	-0.0000176	14.4	5.411
MgI2	-0.0003579	0.0005617	0	0.00007818	51.2	4.965
Mg(NO3)2	-0.00004771	0.001289	0	0.00004135	36.8	4.132
Mg(ClO4)2	-0.000456	0.001183	0	0.0001487	67	3.774
MgSO4	0.001258	-0.003115	0.2054	-0.00035	-7.2	3.045
MnCl2	0.00008053	0.0002428	0	-0.000072	17.9	4.87
MnSO4	0.001401	0.008694	-0.6453	-0.0003672	-3.7	4.059
NdCl3	0.0001766	-0.002234	0	0.00000153	10.1	2.446
NiCl2	0.000931	-0.009151	0	-0.0002144	11.6	4
Ni(NO3)2	0.0007228	-0.007909	0	-0.0001295	34	5.473
NiSO4	-0.0009428	0.008912	-0.1698	0.0008331	-10	2.513
HNO3	-0.0000467	0.00000804	0	0.00001148	29	10.58
HClO4	-0.000044	-0.0004062	0	-0.0000041	44.1	7.657
KCH3COO	-0.0003029	0.001099	0	0.000163	49.7	3
KHCO3	-0.004118	0.009972	0	0.003723	32.4	0.9927
Kbr	0.00002655	0.000352	0	0.00001061	33.7	5.15
K2CO3	0.0003036	0.002002	0	-0.00001749	13.7	7.236
KClO4	0.007989	-0.01589	0	-0.006796	45.7	0.5209
KClO4	-0.00005462	0.0007677	0	0.00003875	26.8	4.819
KCrO4	0.002546	-0.003975	0	-0.002894	37.7	0.5344
KH2PO4	-0.01553	0.03513	0	0.01295	38.1	1.052
KF	0.0001522	0.0002207	0	-0.0000107	7.8	9.682
K2HPO4	0.003047	-0.01139	0	-0.001433	25.7	1.269
KOH	0.0002293	0.0001509	0	-0.000015	5	14
KI	0.00005655	-0.0000666	0	-0.0000025	45.2	8.58
KNO3	-0.0000956	0.001052	0	0.00007173	38	3.699
KNO2	0.005617	-0.03184	0	-0.001442	35.2	4.627
K3PO4	-0.004567	0.0232	0	0.004585	-3.6	0.6786
K2SO4	-0.001179	0.006263	0	0.001473	32	1.05
KSCN	-0.001886	0.01131	0	0.0004367	44.7	4.843
PrCl3	0.0002134	-0.002257	0	-0.0000133	10.9	3.891
RbBr	0.0001276	0.00003187	0	-0.00001925	38.8	4.948
RbCl	0.0001066	0.0001653	0	-0.0000096	31.9	6.146
RbF	-0.0006142	0.001394	0	0.0002071	12.9	3.363
RbOH	0.001028	-0.008523	0	-0.00009437	10.1	5.981
RbI	0.0005434	-0.0009866	0	-0.0002034	50.3	4.709
RbNO3	0.00005016	0.001233	0	-0.00006796	43.1	2.906
Rb2SO4	0.01365	-0.06837	0	-0.00571	42.2	1.605
SmCl3	0.0001604	-0.002372	0	-0.000002	11.1	3.64
AgNO3	-0.02262	0.03271	0	0.0494	28.3	0.1822
NaCH3COO	0.0003546	-0.0006847	0	-0.0000788	39.5	4.283
NaHCO3	-0.0004402	0.00301	0	0.0004983	22.2	1.1
NaBrO3	0.0004794	-0.0007243	0	-0.0001687	34.1	2.577
NaBr	0.00004333	0.0002528	0	-0.0000014	23.5	8.376
Na2CO3	0.0006672	0.000391	0	-0.0001041	-6.7	2.979
NaClO4	0.0001057	0.0002797	0	-0.000009971	35.5	3.507
NaCl	0.0001116	0.00007507	0	-0.0000102	16.6	6.1
NaCrO4	0.0005722	-0.001298	0	-0.0000595	17.3	4.234
NaH2PO4	-0.00008958	0.003652	0	0.00009716	27.9	5.557
NaF	0.002113	-0.003857	0	-0.001535	-2.4	0.9923
NaHCO2	-0.001729	0.001149	0	0.00009071	24.9	3.458
Na2HPO4	0.007018	-0.01855	0	-0.006621	5.3	0.5844
NaOH	0.000218	0.0005212	0	-0.0000107	-5.2	10.88
NaI	0.000053	-0.00001965	0	-0.000003742	35	8.491
NaNO3	0.00004904	0.0006559	0	0.000002789	27.8	10.76
NaClO4	-0.0000745	0.000581	0	0.00003023	42.9	5.914
Na3PO4	-0.002545	0.01227	0	0.00337	-25	0.6657
Na2SO4	0.0004129	0.001954	0	-0.000037	11.6	4.694
NaSCN	0.00002294	0.00132	0	0.00001076	34.5	11.39
Na2S2O3	0.0004842	-0.002513	0	-0.00004894	31.5	3.877
SrBr2	0.007083	-0.04615	0	-0.002154	31.2	2.082
SrCl2	-0.0001879	0.000902	0	0.0003076	17.4	2.5
SrI2	0.001036	-0.005949	0	-0.0004075	54.2	1.953
Sr(NO3)2	-0.00003284	0.002829	0	0.00005989	39.8	3.677
Sr(ClO4)2	0.0001766	0.0009002	0	-0.00000532	70	5.694
UO2Cl2	-0.001859	0.01198	0	0.0009958	41.5	1.61
UO2(NO3)2	-0.003023	0.01065	0	0.002546	63.9	0.8309
UO2SO4	0.006991	-0.01624	0	-0.008161	19.9	1.344
YCl3	0.0001755	-0.00221	1.12	-0.000008892	12.6	3.948
YNO3	0.0001792	-0.002485	0	0.000003738	46.2	1.058
ZnBr2	0.001058	0.0007117	0	-0.0003739	20	1.999
ZnCl2	0.0001075	0.01003	0	0.0001495	2	2.03
ZnI2	0.00006577	-0.001513	0	0.00002018	50.8	2.892
Zn(NO3)2	0.0003004	-0.003951	0	-0.00003529	36.4	5
Zn(ClO4)2	0.00007755	-0.0009444	0	0.00002731	63	3.493
ZnSO4	0.00155	-0.004269	0.0965	-0.0004204	-7.6	3.403
