Na[+1],K[+1],Ca[+2],Mg[+2],Cl[-1],SO4[-2],mean_activity_coefficient
0.0,0.0,0.1,0.0,0.2,0.0,0.518
0.0,0.0,0.2,0.0,0.4,0.0,0.472
0.0,0.0,0.3,0.0,0.6,0.0,0.455
0.0,0.0,0.4,0.0,0.8,0.0,0.448
0.0,0.0,0.5,0.0,1.0,0.0,0.448
0.0,0.0,0.6,0.0,1.2,0.0,0.453
0.0,0.0,0.7,0.0,1.4,0.0,0.46
0.0,0.0,0.8,0.0,1.6,0.0,0.47
0.0,0.0,0.9,0.0,1.8,0.0,0.484
0.0,0.0,1.0,0.0,2.0,0.0,0.5
0.0,0.1,0.0,0.0,0.1,0.0,0.77
0.0,0.2,0.0,0.0,0.2,0.0,0.718
0.0,0.3,0.0,0.0,0.3,0.0,0.688
0.0,0.4,0.0,0.0,0.4,0.0,0.666
0.0,0.5,0.0,0.0,0.5,0.0,0.649
0.0,0.6,0.0,0.0,0.6,0.0,0.637
0.0,0.7,0.0,0.0,0.7,0.0,0.626
0.0,0.8,0.0,0.0,0.8,0.0,0.618
0.0,0.9,0.0,0.0,0.9,0.0,0.61
0.0,1.0,0.0,0.0,1.0,0.0,0.604
0.0,0.2,0.0,0.0,0.0,0.1,0.441
0.0,0.4,0.0,0.0,0.0,0.2,0.36
0.0,0.6,0.0,0.0,0.0,0.3,0.316
0.0,0.8,0.0,0.0,0.0,0.4,0.286
0.0,1.0,0.0,0.0,0.0,0.5,0.264
0.0,1.2,0.0,0.0,0.0,0.6,0.246
0.0,1.4,0.0,0.0,0.0,0.7,0.232
0.0,0.0,0.0,0.1,0.2,0.0,0.529
0.0,0.0,0.0,0.2,0.4,0.0,0.489
0.0,0.0,0.0,0.3,0.6,0.0,0.477
0.0,0.0,0.0,0.4,0.8,0.0,0.475
0.0,0.0,0.0,0.5,1.0,0.0,0.481
0.0,0.0,0.0,0.6,1.2,0.0,0.491
0.0,0.0,0.0,0.7,1.4,0.0,0.506
0.0,0.0,0.0,0.8,1.6,0.0,0.522
0.0,0.0,0.0,0.9,1.8,0.0,0.544
0.0,0.0,0.0,1.0,2.0,0.0,0.57
0.0,0.0,0.0,0.1,0.0,0.1,0.15
0.0,0.0,0.0,0.2,0.0,0.2,0.107
0.0,0.0,0.0,0.3,0.0,0.3,0.0874
0.0,0.0,0.0,0.4,0.0,0.4,0.0756
0.0,0.0,0.0,0.5,0.0,0.5,0.0675
0.0,0.0,0.0,0.6,0.0,0.6,0.0616
0.0,0.0,0.0,0.7,0.0,0.7,0.0571
0.0,0.0,0.0,0.8,0.0,0.8,0.0536
0.0,0.0,0.0,0.9,0.0,0.9,0.0508
0.0,0.0,0.0,1.0,0.0,1.0,0.0485
0.1,0.0,0.0,0.0,0.1,0.0,0.778
0.2,0.0,0.0,0.0,0.2,0.0,0.735
0.3,0.0,0.0,0.0,0.3,0.0,0.71
0.4,0.0,0.0,0.0,0.4,0.0,0.693
0.5,0.0,0.0,0.0,0.5,0.0,0.681
0.6,0.0,0.0,0.0,0.6,0.0,0.673
0.7,0.0,0.0,0.0,0.7,0.0,0.667
0.8,0.0,0.0,0.0,0.8,0.0,0.662
0.9,0.0,0.0,0.0,0.9,0.0,0.659
1.0,0.0,0.0,0.0,1.0,0.0,0.657
0.2,0.0,0.0,0.0,0.0,0.1,0.445
0.4,0.0,0.0,0.0,0.0,0.2,0.365
0.6,0.0,0.0,0.0,0.0,0.3,0.32
0.8,0.0,0.0,0.0,0.0,0.4,0.289
1.0,0.0,0.0,0.0,0.0,0.5,0.266
1.2,0.0,0.0,0.0,0.0,0.6,0.248
1.4,0.0,0.0,0.0,0.0,0.7,0.233
1.6,0.0,0.0,0.0,0.0,0.8,0.221
1.8,0.0,0.0,0.0,0.0,0.9,0.21
2.0,0.0,0.0,0.0,0.0,1.0,0.201
0.0,0.0,2.0,0.0,4.0,0.0,0.784
0.0,2.0,0.0,0.0,2.0,0.0,0.573
0.0,5.0,0.0,0.0,5.0,0.0,0.593
2.0,0.0,0.0,0.0,2.0,0.0,0.668
5.0,0.0,0.0,0.0,5.0,0.0,0.874
4.0,0.0,0.0,0.0,0.0,2.0,0.155
