Na[+1],K[+1],Ca[+2],Mg[+2],Cl[-1],SO4[-2],conductivity
0.0005,0,0,0,0.0005,0,0.06222
0.001,0,0,0,0.001,0,0.12368
0.005,0,0,0,0.005,0,0.60295
0.01,0,0,0,0.01,0,1.1845
0.02,0,0,0,0.02,0,2.314
0.05,0,0,0,0.05,0,5.5505
0.1,0,0,0,0.1,0,10.669
0,0.0005,0,0,0.0005,0,0.07387
0,0.001,0,0,0.001,0,0.14688
0,0.005,0,0,0.005,0,0.7169
0,0.01,0,0,0.01,0,1.412
0,0.02,0,0,0.02,0,2.7654
0,0.05,0,0,0.05,0,6.665
0,0.1,0,0,0.1,0,12.89
0,0,0.00025,0,0.0005,0,0.06593
0,0,0.0005,0,0.001,0,0.1303
0,0,0.0025,0,0.005,0,0.62095
0,0,0.005,0,0.01,0,1.203
0,0,0.01,0,0.02,0,2.3118
0,0,0.025,0,0.05,0,5.421
0,0,0.05,0,0.1,0,10.241
0,0,0,0.00025,0.0005,0,0.062775
0,0,0,0.0005,0.001,0,0.12415
0,0,0,0.0025,0.005,0,0.59125
0,0,0,0.005,0.01,0,1.1449
0,0,0,0.01,0.02,0,2.1998
0,0,0,0.025,0.05,0,5.1515
0,0,0,0.05,0.1,0,9.705
0.0005,0,0,0,0,0.00025,0.06284
0.001,0,0,0,0,0.0005,0.12409
0.005,0,0,0,0,0.0025,0.58545
0.01,0,0,0,0,0.005,1.1238
0.02,0,0,0,0,0.01,2.1346
0.05,0,0,0,0,0.025,4.885
0.1,0,0,0,0,0.05,8.994
0,0,0.045045,0,0.09009009,0,8.94305451
0,0,0.09009009,0,0.18018018,0,17.3340686
0,0,0.18018018,0,0.36036036,0,32.4599756
0,0,0,0.05263,0.105263,0,9.49509491
0,0,0,0.105263,0.210526,0,18.3277413
0,0,0,0.210526,0.421052,0,34.4473211
0,0,0,0.04166666,0,0.04166666,4.52673129
0,0,0,0.08333333,0,0.08333333,8.3910141
0,0,0,0.166666667,0,0.166666667,14.6842747
0,0,0,0.416666667,0,0.4166667,30.251814
0,0.067114,0,0,0.067114,0,9.05346259
0,0.134228,0,0,0.134228,0,17.3340686
0,0.268456,0,0,0.268456,0,32.5703837
0,0.67114,0,0,0.67114,0,79.3834098
0,0.05747126,0,0,0,0.02873563,6.40366866
0,0.11494253,0,0,0,0.05747126,12.365705
0,0.22988506,0,0,0,0.11494253,23.1856969
0,0.57471264,0,0,0,0.28735632,52.9958786
0.085470085,0,0,0,0.085470085,0,9.05346259
0.17094017,0,0,0,0.17094017,0,17.6652929
0.34188034,0,0,0,0.34188034,0,33.3432403
0.070422535,0,0,0,0,0.035211268,6.51407674
0.14084507,0,0,0,0,0.070422535,12.365705
0.28169014,0,0,0,0,0.14084507,21.8607999
