Name:	pitzer_parameters_activity				
Description:	"Beta0, Beta1, Beta2, and Cphi parameters for calculating activity and osmotic coefficients according to the Pitzer ion interaction model"				
Unit:	None				
Reference:	"May, P. M., Rowland, D., Hefter, G., & Kanigsberger, E. (2011).   A Generic and Updatable Pitzer Characterization of Aqueous Binary Electrolyte Solutions at 1 bar and 25C. Journal of Chemical & Engineering Data, 56(12), 5066-5077. doi:10.1021/je2009329"				
Temperature:	25 degC				
Pressure:	1 atm				
Ionic Strength:					
Uncertainty:					
Uncertainty Type:					
Comment:	Copyright 2011 American Chemical Society. Used with permission.				
					
Key:	Beta0	Beta1	Beta2	Cphi	Max_C
Al2(SO4)3	0.822	21.12	-4813	-0.0799	1.1
NH4Br	0.05921	0.2153	0	-0.00379	7.5
NH4Cl	0.05094	0.2068	0	-0.00285	7.405
(NH4)2HPO4	-0.04263	-0.6787	0	0.005162	3.107
NH4I	0.05671	0.2893	0	-0.00311	7.5
NH4NO3	-0.01709	0.09198	0	0.000419	20
NH4ClO4	0.005579	-0.1015	0	-0.00635	2.1
(NH4)2SO4	0.04211	0.582	0	-0.00134	5.5
Ba(CH3COO)2	0.2437	1.093	0	-0.03794	3.5
BaBr2	0.316	1.529	0	-0.01638	2.321
BaCl2	0.2891	1.217	0	-0.02987	1.8
BaI2	0.4008	1.881	0	-0.00843	2
Ba(NO3)2	-0.06464	0.8598	0	0.04046	0.4
Ba(ClO4)2	0.3309	1.729	0	-0.01883	3.5
BeSO4	0.3162	2.867	-58.93	0.006172	4
Cd(NO3)2	0.2833	1.665	0	-0.02426	3
Cd(NO2)2	-0.02389	-1.511	0	0.007885	5
Cd(ClO4)2	0.3796	2.113	0	0.02515	1.928
CdSO4	0.2072	2.564	-45.05	0.01071	3.5
CsCH3COO	0.1674	0.3399	0	-0.00671	3.5
CsBr	0.02187	0.07237	0	0.001244	5
CsCl	0.03745	0.02709	0	-0.00103	11
CsF	0.1237	0.324	0	-0.00305	3.5
CsOH	0.1277	0.4146	0	0.00615	5
CsI	0.02164	0.04627	0	-0.00287	3
CsNO3	-0.1024	0.01885	0	0.0133	1.5
CsNO2	0.03058	0.1855	0	-0.00233	7
Cs2SO4	0.1009	0.9094	0	-0.0087	4
CaBr2	0.3409	1.928	0	0.01034	6
CaCl2	0.31	1.618	0	-0.00125	5
CaI2	0.4301	1.878	0	0.001749	2
Ca(NO3)2	0.1683	1.65	0	-0.00687	6
